[151, '?', 1]
['?', 279, 1]
[21, '?', 3]
['?', 23, 3]
[273, '?', 28]
[86, '?', 4]
['?', 84, 4]
[152, '?', 1]
['?', 147, 1]
['?', 605, 24]
[534, '?', 18]
[226, '?', 16]
['?', 394, 16]
[149, '?', 1]
['?', 153, 1]
[67, '?', 11]
['?', 68, 11]
[538, '?', 24]
['?', 149, 24]
[46, '?', 1]
['?', 391, 1]
[297, '?', 16]
['?', 31, 16]
[19, '?', 5]
['?', 21, 5]
[384, '?', 4]
[99, '?', 1]
['?', 106, 1]
[164, '?', 25]
['?', 398, 10]
['?', 298, 22]
[589, '?', 12]
['?', 588, 12]
[103, '?', 6]
['?', 288, 6]
[295, '?', 1]
[223, '?', 18]
['?', 277, 18]
[151, '?', 6]
['?', 147, 6]
['?', 379, 25]
[166, '?', 25]
[111, '?', 4]
['?', 112, 4]
['?', 121, 27]
['?', 322, 22]
[148, '?', 1]
[646, '?', 12]
['?', 645, 12]
[367, '?', 9]
[92, '?', 18]
['?', 434, 18]
['?', 298, 6]
[251, '?', 5]
['?', 250, 5]
[391, '?', 6]
['?', 46, 6]
['?', 153, 6]
['?', 96, 13]
[287, '?', 21]
[395, '?', 28]
[54, '?', 4]
['?', 55, 4]
[351, '?', 3]
['?', 349, 3]
[140, '?', 4]
['?', 139, 4]
['?', 545, 24]
[63, '?', 14]
['?', 62, 14]
[60, '?', 8]
['?', 58, 8]
[498, '?', 24]
['?', 500, 24]
[95, '?', 1]
[269, '?', 6]
[63, '?', 1]
['?', 46, 1]
[75, '?', 4]
['?', 453, 4]
['?', 127, 18]
[182, '?', 9]
[235, '?', 26]
['?', 236, 26]
[31, '?', 18]
['?', 298, 18]
[164, '?', 4]
['?', 384, 4]
[291, '?', 11]
['?', 292, 11]
[46, '?', 6]
['?', 500, 6]
[165, '?', 5]
['?', 382, 5]
['?', 382, 4]
[132, '?', 18]
[127, '?', 1]
['?', 308, 1]
[406, '?', 21]
['?', 114, 21]
[90, '?', 1]
['?', 361, 10]
[214, '?', 23]
['?', 242, 23]
[472, '?', 4]
['?', 485, 4]
[208, '?', 4]
[200, '?', 6]
[31, '?', 24]
['?', 26, 24]
[391, '?', 1]
[158, '?', 4]
['?', 160, 4]
[600, '?', 1]
[305, '?', 6]
[230, '?', 27]
['?', 396, 27]
['?', 27, 6]
[491, '?', 25]
['?', 435, 25]
[101, '?', 1]
['?', 99, 1]
[286, '?', 6]
['?', 287, 6]
['?', 69, 1]
[383, '?', 25]
['?', 166, 25]
[19, '?', 4]
[17, '?', 4]
['?', 461, 4]
['?', 69, 6]
[59, '?', 4]
['?', 63, 4]
[250, '?', 4]
['?', 252, 4]
[344, '?', 16]
['?', 123, 16]
['?', 91, 24]
['?', 655, 27]
[218, '?', 25]
['?', 217, 25]
[217, '?', 23]
['?', 216, 23]
[226, '?', 25]
['?', 76, 25]
[74, '?', 10]
['?', 78, 10]
[370, '?', 24]
['?', 286, 24]
['?', 200, 6]
[356, '?', 12]
['?', 32, 12]
[157, '?', 4]
['?', 79, 4]
[60, '?', 6]
['?', 391, 6]
[42, '?', 4]
[434, '?', 21]
[381, '?', 25]
['?', 385, 25]
[483, '?', 4]
['?', 480, 4]
[432, '?', 26]
['?', 139, 26]
[223, '?', 24]
['?', 94, 24]
['?', 473, 10]
[174, '?', 21]
[435, '?', 4]
['?', 94, 22]
[461, '?', 9]
[595, '?', 11]
['?', 596, 11]
[361, '?', 25]
[76, '?', 6]
['?', 103, 6]
[249, '?', 5]
['?', 328, 5]
['?', 434, 22]
[285, '?', 1]
['?', 286, 1]
[49, '?', 6]
['?', 48, 6]
[104, '?', 4]
['?', 345, 4]
[40, '?', 9]
[69, '?', 6]
['?', 127, 6]
[474, '?', 6]
[95, '?', 6]
['?', 23, 10]
[334, '?', 4]
['?', 35, 4]
[196, '?', 1]
['?', 230, 28]
[468, '?', 16]
[490, '?', 4]
['?', 462, 4]
[91, '?', 23]
['?', 32, 23]
[477, '?', 4]
['?', 458, 4]
[510, '?', 23]
['?', 92, 23]
[96, '?', 6]
['?', 97, 6]
[469, '?', 28]
['?', 223, 28]
[52, '?', 9]
['?', 223, 27]
[198, '?', 1]
[364, '?', 5]
['?', 363, 5]
[599, '?', 1]
[641, '?', 20]
['?', 56, 20]
['?', 217, 4]
['?', 385, 5]
['?', 566, 18]
[490, '?', 5]
['?', 51, 5]
[334, '?', 9]
[199, '?', 6]
[145, '?', 12]
['?', 144, 12]
[159, '?', 4]
['?', 158, 4]
[146, '?', 1]
[545, '?', 1]
[163, '?', 3]
['?', 11, 3]
[319, '?', 28]
['?', 318, 28]
[38, '?', 9]
['?', 48, 1]
['?', 6, 25]
[130, '?', 1]
['?', 129, 1]
[111, '?', 3]
['?', 112, 3]
[476, '?', 4]
[103, '?', 4]
[188, '?', 9]
['?', 189, 9]
[583, '?', 23]
[456, '?', 9]
[500, '?', 6]
['?', 250, 4]
['?', 386, 4]
[216, '?', 24]
['?', 218, 24]
['?', 202, 10]
[438, '?', 1]
['?', 66, 1]
['?', 382, 25]
[126, '?', 12]
['?', 125, 12]
[349, '?', 4]
['?', 350, 4]
[207, '?', 8]
['?', 13, 8]
['?', 222, 27]
['?', 174, 22]
[475, '?', 9]
['?', 357, 27]
['?', 572, 18]
[280, '?', 1]
['?', 383, 25]
[86, '?', 9]
['?', 21, 4]
[139, '?', 1]
['?', 276, 1]
['?', 166, 4]
[91, '?', 1]
['?', 124, 1]
[202, '?', 4]
['?', 202, 4]
[481, '?', 4]
['?', 479, 4]
[139, '?', 16]
[132, '?', 17]
['?', 127, 17]
[473, '?', 5]
['?', 486, 5]
[153, '?', 6]
['?', 132, 16]
[75, '?', 25]
['?', 75, 25]
['?', 26, 18]
['?', 78, 25]
[455, '?', 4]
['?', 102, 4]
[33, '?', 5]
['?', 35, 5]
[18, '?', 9]
['?', 85, 10]
[89, '?', 18]
[349, '?', 5]
['?', 351, 5]
[304, '?', 5]
['?', 38, 5]
['?', 346, 10]
[417, '?', 17]
['?', 258, 17]
[59, '?', 14]
[481, '?', 9]
[394, '?', 18]
['?', 226, 18]
[197, '?', 4]
['?', 196, 4]
[193, '?', 9]
[508, '?', 28]
['?', 299, 1]
[340, '?', 4]
['?', 339, 4]
[379, '?', 25]
['?', 208, 25]
['?', 435, 4]
[609, '?', 12]
['?', 608, 12]
[363, '?', 3]
['?', 364, 3]
[383, '?', 4]
[617, '?', 27]
['?', 719, 27]
[251, '?', 3]
['?', 36, 3]
['?', 34, 4]
['?', 321, 1]
[69, '?', 1]
[598, '?', 1]
['?', 296, 22]
[345, '?', 26]
['?', 344, 26]
[159, '?', 3]
['?', 517, 3]
[299, '?', 16]
['?', 89, 16]
[155, '?', 23]
['?', 517, 4]
['?', 424, 4]
[382, '?', 4]
[100, '?', 4]
[136, '?', 4]
['?', 95, 10]
['?', 323, 1]
['?', 208, 4]
[194, '?', 4]
['?', 193, 4]
[46, '?', 8]
['?', 59, 8]
[185, '?', 12]
['?', 184, 12]
[226, '?', 9]
[385, '?', 4]
[110, '?', 16]
[483, '?', 9]
[46, '?', 25]
['?', 46, 25]
[85, '?', 9]
[217, '?', 16]
['?', 216, 16]
[109, '?', 6]
['?', 110, 6]
[254, '?', 11]
['?', 255, 11]
[210, '?', 28]
['?', 89, 28]
['?', 236, 4]
['?', 139, 18]
[25, '?', 23]
['?', 24, 23]
[149, '?', 23]
['?', 538, 23]
[213, '?', 5]
['?', 212, 5]
[380, '?', 3]
['?', 209, 3]
[41, '?', 20]
['?', 79, 20]
['?', 395, 27]
[417, '?', 18]
['?', 258, 18]
[237, '?', 4]
['?', 316, 4]
[198, '?', 6]
['?', 454, 1]
[428, '?', 1]
[598, '?', 21]
['?', 281, 1]
[63, '?', 6]
['?', 59, 6]
['?', 285, 6]
['?', 510, 18]
[614, '?', 12]
['?', 613, 12]
[226, '?', 4]
['?', 76, 4]
[380, '?', 25]
['?', 453, 25]
[28, '?', 8]
['?', 323, 8]
['?', 352, 1]
[56, '?', 4]
['?', 56, 4]
['?', 224, 27]
[641, '?', 16]
[258, '?', 16]
['?', 417, 16]
['?', 363, 10]
['?', 161, 6]
[655, '?', 28]
['?', 245, 28]
[330, '?', 18]
[513, '?', 5]
['?', 514, 5]
[38, '?', 4]
[97, '?', 6]
['?', 96, 6]
['?', 69, 22]
[430, '?', 21]
[662, '?', 12]
['?', 661, 12]
['?', 3, 4]
[236, '?', 5]
['?', 234, 5]
[372, '?', 1]
[325, '?', 12]
['?', 324, 12]
[381, '?', 3]
['?', 109, 18]
[328, '?', 3]
['?', 249, 3]
['?', 201, 6]
[603, '?', 1]
[165, '?', 26]
['?', 209, 26]
['?', 165, 10]
[396, '?', 28]
[423, '?', 9]
['?', 177, 22]
[210, '?', 11]
['?', 211, 11]
[601, '?', 16]
[501, '?', 1]
[56, '?', 1]
[148, '?', 16]
[583, '?', 21]
['?', 572, 24]
['?', 94, 1]
[73, '?', 5]
['?', 75, 5]
['?', 598, 1]
['?', 147, 22]
['?', 227, 27]
[32, '?', 24]
['?', 127, 24]
[183, '?', 28]
[340, '?', 9]
[112, '?', 4]
['?', 111, 4]
[150, '?', 1]
['?', 605, 1]
[207, '?', 26]
['?', 205, 26]
[296, '?', 21]
[489, '?', 4]
['?', 491, 4]
[223, '?', 28]
[252, '?', 5]
['?', 350, 5]
[238, '?', 9]
[85, '?', 3]
['?', 363, 3]
[21, '?', 26]
['?', 362, 26]
['?', 193, 10]
[78, '?', 9]
[244, '?', 9]
[209, '?', 5]
['?', 208, 5]
['?', 209, 10]
['?', 219, 4]
